sector,labor_input_EH_initial,labor_input_EH_final,labor_input_GTAP,total_output_GTAP,final_demand_GTAP,labor_frac_value_added,value_added_EH_initial,value_added_EH_final,total_output_EH_initial,total_output_EH_final
pdr,15.329377711209926,17.020847284999377,41.10306,156.7289200000009,0.14819000000088545,0.0036053276812209466,0.055267429798116545,0.06136573187444265,-33.46664000659278,-36.78926713922675
wht,2.7330618602269494,3.034632548023213,7.3282300000000005,59.34789000000092,0.06872000000088287,0.009377434933248937,0.025629109762822518,0.028457069265407108,-5.319365347060848,-5.8500543329716885
gro,38.36169400877629,42.59458848350867,102.86021000000001,396.4104800000023,125.26517000000234,1.217819504743402,46.71761919888587,51.87252065173554,28.859908409562955,33.077423012172794
v_f,144.89728244352773,160.8854946981437,388.51686,1296.341039999994,678.0709399999942,1.7452806037812467,252.88641658930192,280.7903333264208,176.33681874905625,199.03474704634218
osd,88.99018034959276,98.80950800027087,238.61169,954.0868199999921,-148.78229000000772,-0.6235331135704529,-55.48832423057771,-61.61100017377347,-84.77767835517074,-94.0284491439192
c_b,6.473479758346542,7.187774510166629,17.35751,150.010250000001,8.608920000000921,0.49597666946474006,3.2106949303921284,3.5649684624159983,-20.991550103314438,-22.529643780733743
pfb,0.5373386024971629,0.5966294565728538,1.44078,10.60891999999993,2.6628199999999342,1.8481794583489044,0.9930981673131638,1.102678305883818,-1.6848671092697094,-1.6284942851323847
ocr,35.634200288956116,39.566138473962276,95.54691,297.4902400000016,211.3024600000016,2.211504903716945,78.80520867905823,87.50070925631125,68.37142976223579,76.26906376325802
ctl,31.751274545502618,35.2547641087795,85.13552,321.9838700000018,56.65809000000199,0.6655047153056913,21.130622926997564,23.462211751382604,-60.24965473784809,-66.85625939593791
oap,55.34064730111246,61.44702832107996,148.38632,616.7712399999907,124.24521999999068,0.8373091266094521,46.337229057696206,51.450157616269735,-105.68120171167712,-117.31452729923276
rmk,9.753095810451201,10.829268967928284,26.15123,115.0022500000012,0.4943400000012115,0.018903126162754542,0.1843640005823918,0.20470703755115102,-28.351097298710407,-31.021397285794826
wol,1.311679339334681,1.4564122655401863,3.5170399999999997,24.47900999999978,11.185669999999782,3.180421604531021,4.171693309036996,4.632005034427979,3.283902847887504,3.689516452642062
frs,7.124016081960002,7.910092116671459,19.10181,356.7104300000028,20.285800000002855,1.0619831314416202,7.5655849071603445,8.400384396054429,-119.41688205080176,-118.87186166868909
fsh,0.047595852559507996,0.05284765977305877,0.12762,40.0720999999998,12.5627199999998,98.43848926500391,4.685263821237837,5.202243789250825,-2.839219628420623,-2.59085260093853
coa,0.028618689110168072,0.028618689110168072,0.16711,3.899790000000023,-0.5171899999999781,-3.0949075459277005,-0.08857219688161808,-0.08857219688161808,-0.13946527975881257,-0.14405535071361722
oil,20.617538311895494,20.617538311895494,120.38974999999999,1611.642749999994,-335.17088000000626,-2.7840483097606423,-57.400222688657934,-57.400222688657934,-142.9753365576184,-142.97791564013957
gas,14.312332982616631,14.312332982616631,83.57245,843.0369199999942,-6312.493250000006,-75.53318408159633,-1081.0560818130846,-1081.0560818130846,-1067.3853245894986,-1067.422339073985
omn,133.00458078893567,133.00458078893567,608.06342,3627.745659999987,0.0,0.0,133.00458078893567,133.00458078893567,86.30424106632094,86.27813044638609
cmt,11.38482574399108,12.641046753848096,30.526429999999998,821.1906899999836,678.3632899999836,22.222162565356765,252.99544846122856,280.9113959602878,218.48582231558265,244.90938153080808
omt,10.197577373532392,11.322795381637194,27.34303,740.1369999999845,616.7386699999845,22.555608138526875,230.01255919970473,255.3925356609304,199.87620481462739,223.8791194652482
vol,5.063628845048224,5.622358252446046,13.57724,1319.197199999976,47.71923999997625,3.5146495163948086,17.796880671451543,19.760618712957854,8.032674882536517,9.086688150590835
mil,22.153926298030385,24.598428154468415,59.4019,396.5360300000039,291.1728800000039,4.901743546923649,108.59286527039256,120.57518647063057,95.51907160848545,106.97395799745286
pcr,1.2780989399892955,1.419126547894314,3.4269999999999996,139.5723200000023,116.29930000000228,33.936183250657216,43.37379983994747,48.159738585214015,37.28028139814628,41.73000242916254
sgr,13.954830225299816,15.494629894808318,37.41745,292.8026200000042,204.82979000000418,5.474178224331272,76.39122774357611,84.82036556423203,54.277925834594264,61.71593853872921
ofd,19.98701341179584,22.192414419838848,53.5917,769.5935799999867,458.8019899999865,8.561064306599464,171.11010711525014,189.99068696694562,123.64433555258817,139.6707183999563
