sector,final_demand_domestic,exports,imports_raw,imports,unskilled_labor,skilled_labor,productivity,INE_sector,shock_pct,covid_productivity,nominal_input,covid_input,delta
Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.8385020678276276,0.0,0.0,0.0,
GasB,47.43952,122.0018700000019,0.0,0.0,1.83208,1.15768,169.4413900000019,utilities,0.8385020678276276,142.0769558905891,339.12806955353767,285.45926277961166,-0.16
GasP,15.56889,40.03783000000056,0.0,0.0,0.61095,0.5986899999999999,55.606720000000564,utilities,0.8385020678276276,46.62634970511237,111.29517860267276,93.68212712347781,-0.16
HydB,47.7101,122.6974899999997,0.0,0.0,2.79367,1.7653,170.4075899999997,utilities,0.8385020678276276,142.8871165885223,341.0619527821393,287.08709040687893,-0.16
HydP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.8385020678276276,0.0,0.0,0.0,
Nucl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.8385020678276276,0.0,0.0,0.0,
OilB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.8385020678276276,0.0,0.0,0.0,
OilP,7.94591,20.43330999999981,0.0,0.0,0.26322,0.25794,28.379219999999812,utilities,0.8385020678276276,23.796034653335006,56.80102123011219,47.81195820476354,-0.16
OthB,7.82499,20.12254999999982,0.0,0.0,0.78272,0.4946,27.94753999999982,utilities,0.8385020678276276,23.434070080695182,55.93677168824384,47.08448717925174,-0.16
SolP,0.18236,0.4683500000000002,0.0,0.0,0.0103,0.00663,0.6507100000000002,utilities,0.8385020678276276,0.5456216805561157,1.3030350765840086,1.0968172010691444,-0.16
TnD,33.67225,86.59537999999961,0.0,0.0,8.86382,8.239469999999999,120.2676299999996,utilities,0.8385020678276276,100.84465644772769,240.71012844074477,202.6164853846911,-0.16
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,utilities,0.8385020678276276,0.0,0.0,0.0,
atp,173.27074000000002,485.6084500000025,96.3,96.3,30.67142,67.65682,562.5791900000025,transportation,0.5708669113755465,321.15784459945814,1124.7415472889516,769.6519098329936,-0.32
b_t,445.6903800000001,921.0174499999864,6.58,6.58,26.18756,52.01389,1360.1278299999867,manufacturing,0.8574974035282854,1166.3060826915498,2493.25052933754,2076.0345504463726,-0.17
c_b,8.615379999999998,150.010250000001,0.012,0.012,16.66937,0.68814,158.613630000001,ag,1.0296715250405295,163.3199382943153,556.2193710458872,553.6498034244623,-0.0
cmn,376.07825999999994,753.0850599999928,104.0,104.0,24.24107,53.47237,1025.1633199999928,communications,1.0512511094932733,1077.7040775618,1767.0960798451213,1703.321199569693,-0.04
cmt,690.1043,821.1906899999836,13.6,13.6,10.22248,20.30395,1497.6949899999836,ag,1.0296715250405295,1542.1338843988437,1814.7298155599126,1810.1424444022866,-0.0
cns,2325.27201,2374.984399999978,1.93,1.93,377.33017,75.70725,4698.326409999978,construction,0.6356675373362068,2986.5735786463474,4803.052929921343,3062.728902594273,-0.36
coa,0.00926,3.899790000000023,3.28,3.28,0.07134,0.09577000000000001,0.629050000000023,energy,0.808671748499249,0.5086949633934712,2.9567011862490826,2.1995293627812065,-0.26
crp,155.34166000000002,755.9251099999866,0.0,0.0,22.63247,44.95274000000001,911.2667699999866,manufacturing,0.8574974035282854,781.4088891965959,1802.1374827195314,1448.2367554937036,-0.2
ctl,56.75327,321.9838700000018,0.193,0.193,81.76031,3.37521,378.5441400000018,ag,1.0296715250405295,389.77612192895754,963.9882390314929,973.6222105597492,0.01
dwe,869.7704799999999,869.7743300000004,0.0,0.0,22.56711,52.26753,1739.5448100000003,construction,0.6356675373362068,1105.77216545868,1739.5548030770033,1105.7808861979336,-0.36
ele,27.930379999999996,32.57724999999974,3.23,3.23,0.0567,0.11263,57.27762999999974,manufacturing,0.8574974035282854,49.1154190052536,65.61700385523433,56.57432500028478,-0.14
fmp,2.25163,20.80381999999974,1.06,1.06,0.09701,0.19267,21.99544999999974,manufacturing,0.8574974035282854,18.861041264436,45.94856215878759,36.730915794576376,-0.2
frs,19.759259999999998,356.7104300000028,0.742,0.742,18.34451,0.7573,375.7276900000028,ag,1.0296715250405295,386.87610356225815,1064.7090377898173,889.6556129774656,-0.16
fsh,12.58507,40.0720999999998,0.055,0.055,0.12121,0.006409999999999999,52.6021699999998,ag,1.0296715250405295,54.162956604340984,114.38258800406138,105.55401880199554,-0.08
gas,0.02664,843.0369199999942,7033.0,843.0635599999943,35.67902,47.89343,0.0,energy,0.808671748499249,0.0,303.9558224945605,246.05674982369018,-0.19
gdt,5.52577,91.88365999999976,58.5,58.5,5.13264,4.23984,38.90942999999976,utilities,0.8385020678276276,32.625637512994125,239.26189861925445,186.4962734039977,-0.22
gro,285.2938,396.4104800000023,190.0,190.0,98.7823,4.07791,491.7042800000022,ag,1.0296715250405295,506.2938958565578,674.2980222631113,674.6593891562228,0.0
i_s,0.00235,106.6301900000014,13.9,13.9,0.685,1.36055,92.7325400000014,mining,0.2319557974749391,21.509850267577015,266.9581841102354,141.1319352866771,-0.47
isr,300.42038,427.3179800000024,0.0,0.0,96.66715,159.0806,727.7383600000024,finance,0.9470336810677549,689.1927379250133,849.9549373726038,797.8647331272127,-0.06
lea,115.97733,283.1770500000034,70.4,70.4,16.66874,33.10755,328.7543800000034,manufacturing,0.8574974035282854,281.90602724855415,562.0774914923247,486.63512587733896,-0.13
lum,256.47519,729.3413499999876,77.1,77.1,29.57225,58.73656,908.7165399999876,manufacturing,0.8574974035282854,779.2220735931967,1727.2016669814636,1406.1708146620451,-0.19
