sector,labor_input_EH_initial,labor_input_EH_final,labor_input_GTAP,total_output_GTAP,final_demand_GTAP,labor_frac_value_added,value_added_EH_initial,value_added_EH_final,total_output_EH_initial,total_output_EH_final
pdr,15.329377711209926,14.10079640915655,41.10306,156.7289200000009,0.14819000000088545,0.0036053276812209466,0.055267429798116545,0.050837991621193034,-33.46664000659278,-29.624853390815616
wht,2.7330618602269494,2.5140191331125545,7.3282300000000005,59.34789000000092,0.06872000000088287,0.009377434933248937,0.025629109762822518,0.02357505084170588,-5.319365347060849,-4.713256272070408
gro,38.36169400877629,35.287175208198335,102.86021000000001,396.4104800000023,125.26517000000234,1.217819504743402,46.71761919888587,42.97341023584175,28.859908409562955,29.845799812382847
v_f,144.89728244352773,133.28441104834477,388.51686,1296.341039999994,678.0709399999942,1.7452806037812467,252.88641658930192,232.61869738908302,176.33681874905625,172.30973571289664
osd,88.99018034959276,81.85801401488784,238.61169,954.0868199999921,-148.78229000000772,-0.6235331135704529,-55.48832423057771,-51.04118234939679,-84.77767835517074,-77.64598472139733
c_b,6.473479758346542,5.954659207365557,17.35751,150.010250000001,8.608920000000921,0.49597666946474006,3.2106949303921284,2.953372041466718,-20.991550103314438,-16.768893695188687
pfb,0.5373386024971629,0.49427330837131284,1.44078,10.60891999999993,2.6628199999999342,1.8481794583489044,0.9930981673131638,0.9135057753420139,-1.6848671092697098,-0.7803255148304757
ocr,35.634200288956116,32.7782779538556,95.54691,297.4902400000016,211.3024600000016,2.211504903716945,78.80520867905823,72.4893224303487,68.37142976223579,64.00658491317681
ctl,31.751274545502618,29.20655140292902,85.13552,321.9838700000018,56.65809000000199,0.6655047153056913,21.130622926997564,19.437097676467317,-60.24965473784809,-55.36230187412713
oap,55.34064730111246,50.90534106764691,148.38632,616.7712399999907,124.24521999999068,0.8373091266094521,46.337229057696206,42.623506669107705,-105.68120171167712,-97.17168580542713
rmk,9.753095810451201,8.97142864981408,26.15123,115.0022500000012,0.4943400000012115,0.018903126162754542,0.1843640005823918,0.16958804762758617,-28.351097298710407,-25.43677904359881
wol,1.311679339334681,1.2065540863103612,3.5170399999999997,24.47900999999978,11.185669999999782,3.180421604531021,4.171693309036996,3.837350683136659,3.283902847887504,3.119676170061866
frs,7.124016081960002,6.553057944016593,19.10181,356.7104300000028,20.285800000002855,1.0619831314416202,7.5655849071603445,6.959236995905126,-119.41688205080179,-48.68089456868691
fsh,0.047595852559507996,0.04378125710680809,0.12762,40.0720999999998,12.5627199999998,98.43848926500391,4.685263821237837,4.309760807716904,-2.8392196284206253,0.23675647300329627
coa,0.028618689110168075,0.01722124495896925,0.16711,3.899790000000023,-0.5171899999999781,-3.0949075459277005,-0.08857219688161809,-0.05329816097378331,-0.13946527975881257,-0.09571056797167682
oil,20.6175383118955,12.406566784148575,120.38974999999999,1611.642749999994,-335.17088000000626,-2.7840483097606423,-57.400222688657955,-34.54048128534137,-142.97533655761842,-86.04081900265582
gas,14.312332982616635,8.612420760404582,83.57245,843.0369199999942,-6312.493250000006,-75.53318408159633,-1081.056081813085,-650.5235626838012,-1067.385324589499,-642.2927357090642
omn,133.0045807889357,19.40628460292658,608.06342,3627.745659999987,0.0,0.0,133.0045807889357,19.40628460292658,86.30424106632097,-23.13013446783193
cmt,11.38482574399108,10.472382701637512,30.526429999999998,821.1906899999836,678.3632899999836,22.222162565356765,252.99544846122856,232.71899084241886,218.48582231558265,212.08701267001845
omt,10.197577373532392,9.38028699662409,27.34303,740.1369999999845,616.7386699999845,22.555608138526875,230.01255919970473,211.57807772277212,199.87620481462739,193.20733588325322
vol,5.063628845048224,4.657801561203879,13.57724,1319.197199999976,47.71923999997625,3.5146495163948086,17.796880671451543,16.370540004548197,8.032674882536517,7.991261956457172
mil,22.153926298030385,20.378387843072424,59.4019,396.5360300000039,291.1728800000039,4.901743546923649,108.59286527039256,99.8896311064876,95.51907160848545,91.62689522552603
pcr,1.2780989399892955,1.1756650063080338,3.4269999999999996,139.5723200000023,116.29930000000228,33.936183250657216,43.37379983994747,39.89758309545451,37.28028139814628,35.422954055002094
sgr,13.954830225299816,12.836412778021753,37.41745,292.8026200000042,204.82979000000418,5.474178224331272,76.39122774357611,70.26881130797437,54.277925834594264,54.328080247213066
ofd,19.98701341179584,18.38514336695602,53.5917,769.5935799999867,458.8019899999865,8.561064306599464,171.11010711525014,157.39639465056106,123.64433555258817,122.1382820415665
b_t,70.45492851400078,41.16120566266993,78.20145000000001,921.0174499999864,479.84362999998655,6.135994025686052,432.31102044204664,252.56491203617756,316.8060413010461,194.23786597950456
tex,17.00161222959418,9.932688490915506,18.870939999999997,108.1444800000024,57.146340000002425,3.0282720415624462,51.48550697636622,30.078882854588514,41.786442066087524,23.812244063184774
wap,63.24254977131235,36.9475869562671,70.19606999999999,398.1065899999925,169.1061999999925,2.4090550938249464,152.3547866730577,89.00877256153541,105.12313522341717,58.46081494734527
lea,44.845523371269614,26.199669057475283,49.77629,283.1770500000034,102.95909000000339,2.0684363981325924,92.76011283443991,54.1923490975101,63.376337065238545,35.213153546160925
