sector,labor_input_EH_initial,labor_input_EH_final,labor_input_GTAP,total_output_GTAP,final_demand_GTAP,labor_frac_value_added,value_added_EH_initial,value_added_EH_final,total_output_EH_initial,total_output_EH_final
pdr,15.329378376456662,7.396196511621436,41.10306,156.7289200000009,0.14819000000088545,0.0036053276812209466,0.05526743219654901,0.026665712019098564,-33.46664130361351,-16.419026730414075
wht,2.7330619788332307,1.3186616559049267,7.3282300000000005,59.34789000000092,0.06872000000088287,0.009377434933248937,0.025629110875045203,0.012365663877218748,-5.3193655521463645,-2.5974977802301953
gro,38.36169567355305,18.50894620465358,102.86021000000001,396.4104800000023,125.26517000000234,1.217819504743402,46.717621226283484,22.54055570027349,28.859910134329695,13.35324996969424
v_f,144.89728873161366,69.91078145126211,388.51686,1296.341039999994,678.0709399999942,1.7452806037812467,252.88642756377632,122.01393086207752,176.33682773129655,82.55512382354857
osd,88.99018421148645,42.93643707330052,238.61169,954.0868199999921,-148.78229000000772,-0.6235331135704529,-55.488326638596305,-26.772290293936898,-84.77768199613075,-40.9996515117522
c_b,6.473480039275185,3.123357601902004,17.35751,150.010250000001,8.608920000000921,0.49597666946474006,3.210695069726181,1.5491125009387334,-20.99155072856589,-10.839539364071646
pfb,0.5373386258159667,0.259257875448055,1.44078,10.60891999999993,2.6628199999999342,1.8481794583489044,0.993098210410498,0.47915507981827404,-1.6848670939446246,-1.0436056355415202
ocr,35.63420183536824,17.19297109359272,95.54691,297.4902400000016,211.3024600000016,2.211504903716945,78.80521209895622,38.02233988294399,68.37143287533681,32.72139450027032
ctl,31.751275923407984,15.319517233974235,85.13552,321.9838700000018,56.65809000000199,0.6655047153056913,21.130623844000084,10.195210955416655,-60.249657337036446,-29.10347644790793
oap,55.34064970272235,26.7010383741829,148.38632,616.7712399999907,124.24521999999068,0.8373091266094521,46.337231068586085,22.35702312065255,-105.68120628756346,-51.0122477734939
rmk,9.753096233704857,4.705723517923237,26.15123,115.0022500000012,0.4943400000012115,0.018903126162754542,0.1843640085832091,0.08895288534634407,-28.35109835828804,-14.053659007963335
wol,1.3116793962574353,0.6328657520688984,3.5170399999999997,24.47900999999978,11.185669999999782,3.180421604531021,4.171693490075354,2.0127799106476973,3.283903006280903,1.5445335925239296
frs,7.1240163911198735,3.437231692425222,19.10181,356.7104300000028,20.285800000002855,1.0619831314416202,7.565585235482913,3.6502820762121173,-119.41688201138788,-61.7105770302571
fsh,0.047595854625018176,0.022964290221047477,0.12762,40.0720999999998,12.5627199999998,98.43848926500391,4.685264024563538,2.260570036403016,-2.8392195041542503,-1.435052103586629
coa,0.02861868912650112,0.020580259879347085,0.16711,3.899790000000023,-0.5171899999999781,-3.0949075459277005,-0.08857219693216735,-0.0636940015977444,-0.13946528163587352,-0.08814207239219837
oil,20.61753832366219,14.826475625693408,120.38974999999999,1611.642749999994,-335.17088000000626,-2.7840483097606423,-57.40022272141698,-41.2776244054191,-142.97533664029265,-102.80782126078245
gas,14.312332990784864,10.292278976445097,83.57245,843.0369199999942,-6312.493250000006,-75.53318408159633,-1081.0560824300574,-777.4086025469713,-1067.3853252137014,-767.3467676871353
omn,133.00458086353478,68.46198077392893,608.06342,3627.745659999987,0.0,0.0,133.00458086353478,68.46198077392893,86.30424117114073,53.13241800124442
cmt,11.384826238056679,5.493008916568643,30.526429999999998,821.1906899999836,678.3632899999836,22.222162565356765,252.99545944043462,122.06653711694261,218.48583296496665,104.34497610326906
omt,10.197577816075148,4.920179254370848,27.34303,740.1369999999845,616.7386699999845,22.555608138526875,230.01256918152572,110.9776352328982,199.87621447126773,95.53624548219109
vol,5.063629064793776,2.4431255270397636,13.57724,1319.197199999976,47.71923999997625,3.5146495163948086,17.796881443780144,8.586729952102116,8.032675311395897,3.793999163958209
mil,22.153927259441048,10.68893959631437,59.4019,396.5360300000039,291.1728800000039,4.901743546923649,108.59286998298109,52.39444068969064,95.51907621393445,45.70638108592795
pcr,1.2780989954547661,0.616663709352215,3.4269999999999996,139.5723200000023,116.29930000000228,33.936183250657216,43.37380172223385,20.92721264460679,37.28028316055787,17.74993172936713
sgr,13.954830830895519,6.732997814852945,37.41745,292.8026200000042,204.82979000000418,5.474178224331272,76.39123105871492,36.85763002253803,54.27792874575015,24.87394979394443
ofd,19.987014279169305,9.643436391155854,53.5917,769.5935799999867,458.8019899999865,8.561064306599464,171.11011454089015,82.55807908128672,123.64434202620899,58.347395868156134
b_t,70.45492875585755,41.85416851059124,78.20145000000001,921.0174499999864,479.84362999998655,6.135994025686052,432.31102192607835,256.81692793104514,316.8060422945748,198.19503667117093
tex,17.001612287957094,10.099908668103424,18.870939999999997,108.1444800000024,57.146340000002425,3.0282720415624462,51.485507153105004,30.585271041951803,41.78644219727995,25.001301835674806
wap,63.24254998841056,37.56961210516248,70.19606999999999,398.1065899999925,169.1061999999925,2.4090550938249464,152.35478719605928,90.50726541496904,105.12313551905714,63.54186526367965
lea,44.845523525214745,26.640749365798943,49.77629,283.1770500000034,102.95909000000339,2.0684363981325924,92.76011315286563,55.10469566174631,63.37633724235625,38.33421324667216
lum,79.56106845927486,47.26372483770806,88.30881,729.3413499999876,283.6893599999878,3.212469514649646,255.587506978374,151.83327518992644,93.61295104826777,65.28037834074854
