dim,subcat,pwgt,final_employment
area,urban,3411.163294151306,1828.3835256651003
area,rural,2021.8381953430178,1021.028288648224
sex,men,3091.340060653686,1731.1504339660644
sex,women,2341.661428840637,1147.4141001319122
is_entrepreneur,False,1865.7151936416626,1044.8005084393312
is_entrepreneur,True,3567.286295852661,1783.6431479263306
is_skilled,False,2210.594332763672,840.0258464501953
is_skilled,True,3222.4071567306523,1868.9961509037782
total,headcount,5433.001489494323,2879.4907894319913
